epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,77.4975,1.36023,1.9701,4.40955,1.10911,0,0.00184,0.14238,0.00494,0.00138,0.0104,0.80468,0.12206,0.04308,1.32775,1.72969,4.55258,1.08012,0,0.000326389,0.000326389,0.000326389
2,157.074,1.27227,1.66892,3.29165,1.05537,0,0.01319,0.91429,0.23864,0.14806,0.01346,0.93714,0.24484,0.13815,1.34358,2.12146,3.51225,1.02066,0,0.00059441,0.00059441,0.00059441
3,237.621,1.23761,1.64201,2.90871,1.05786,0,0.39069,0.19659,0.318,0.2017,0.39069,0.19659,0.31958,0.18427,1.20422,1.90399,2.92086,0.98169,0,0.000796431,0.000796431,0.000796431
4,318.678,1.24895,1.58156,2.6637,1.04911,0,0.31963,0.58623,0.39879,0.25449,0.32226,0.5929,0.3997,0.23615,1.14567,1.50426,2.36001,0.96167,0,0.000703,0.000703,0.000703
5,403.907,1.17615,1.47748,2.41067,1.01376,0,0.33697,0.57811,0.39942,0.25856,0.34063,0.58954,0.40818,0.25596,1.18364,1.72474,2.27637,0.95035,0,0.000604,0.000604,0.000604
6,491.389,1.08055,1.39094,2.20908,0.98702,0,0.41266,0.57917,0.51039,0.31539,0.41996,0.58914,0.52306,0.29116,1.28454,2.05286,2.02256,0.98314,0,0.000505,0.000505,0.000505
7,584.288,1.07923,1.36119,2.05122,0.98594,0,0.40936,0.5054,0.40727,0.28539,0.40936,0.5054,0.40803,0.27108,1.08826,1.44067,1.73037,0.92165,0,0.000406,0.000406,0.000406
8,678.201,1.0154,1.27226,1.87148,0.96641,0,0.512,0.48497,0.45402,0.30839,0.512,0.48497,0.45297,0.2878,1.1285,1.47099,1.79011,0.96069,0,0.000307,0.000307,0.000307
9,774.181,1.00213,1.28575,1.79129,0.96491,0,0.61144,0.42051,0.46169,0.32163,0.61031,0.42103,0.45938,0.29652,1.07556,1.46716,1.69952,0.94069,0,0.000208,0.000208,0.000208
10,873.039,0.94019,1.21435,1.66196,0.93998,0,0.61688,0.48155,0.5115,0.36009,0.61688,0.48155,0.51168,0.33664,1.02342,1.41531,1.54187,0.9061,0,0.000109,0.000109,0.000109
