epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,102.043,1.4748,1.83953,3.92705,1.06201,0,0.32716,0.10985,0.17692,0.10828,0.397,0.15074,0.20168,0.10737,1.31649,1.71069,3.35982,1.00227,0,0.000329861,0.000329861,0.000329861
2,195.608,1.41249,1.72134,2.85945,1.05037,0,0.22363,0.54636,0.28764,0.17759,0.22269,0.54185,0.28464,0.1785,1.29484,1.62186,2.36362,0.98335,0,0.000654987,0.000654987,0.000654987
3,293.94,1.39567,1.69976,2.61142,1.04426,0,0.22945,0.37166,0.24097,0.1471,0.2301,0.37382,0.24007,0.13809,1.33959,1.50424,2.28672,0.97786,0,0.000971864,0.000971864,0.000971864
4,399.286,1.40074,1.64221,2.43402,1.04949,0,0.22363,0.43228,0.26685,0.16958,0.21998,0.43476,0.26319,0.15559,1.31938,1.63958,2.07925,0.99006,0,0.000962875,0.000962875,0.000962875
5,511.07,1.35291,1.58698,2.28104,1.0363,0,0.28393,0.4968,0.26109,0.16265,0.28207,0.49229,0.25837,0.16993,1.20026,1.52618,1.89722,0.96182,0,0.0009505,0.0009505,0.0009505
6,626.275,1.30774,1.57651,2.088,1.01943,0,0.2988,0.44773,0.33748,0.22082,0.2966,0.44297,0.33716,0.19285,1.22507,1.58389,1.91839,0.95279,0,0.000938125,0.000938125,0.000938125
7,731.415,1.27181,1.60433,1.99131,1.01178,0,0.31736,0.46377,0.34818,0.22775,0.31736,0.46377,0.3486,0.20137,1.26106,1.76969,1.94632,0.97206,0,0.00092575,0.00092575,0.00092575
8,844.825,1.2738,1.55449,1.89291,1.00822,0,0.40861,0.5714,0.48889,0.3125,0.39824,0.56143,0.47385,0.27781,1.22418,1.57735,1.71877,0.95189,0,0.000913375,0.000913375,0.000913375
9,952.802,1.22335,1.50188,1.79841,0.99736,0,0.39503,0.45254,0.40575,0.26262,0.39183,0.44804,0.40168,0.26846,1.22038,1.42147,1.66083,0.94429,0,0.000901,0.000901,0.000901
10,1060.86,1.1764,1.44443,1.72749,0.98508,0,0.47326,0.44785,0.3948,0.25577,0.47326,0.44785,0.39728,0.23268,1.21255,1.66529,1.57441,0.94277,0,0.000888625,0.000888625,0.000888625
11,1172.72,1.21163,1.47119,1.69706,0.9933,0,0.5396,0.42047,0.40992,0.26298,0.50368,0.43562,0.40682,0.241,1.23188,1.56985,1.5425,0.98066,0,0.00087625,0.00087625,0.00087625
12,1279.32,1.18306,1.42949,1.6262,0.98,0,0.44378,0.59295,0.56891,0.37816,0.44554,0.59734,0.5697,0.34734,1.17855,1.43906,1.57895,0.94366,0,0.000863875,0.000863875,0.000863875
13,1381.88,1.17173,1.41362,1.55468,0.97527,0,0.54072,0.63941,0.62913,0.423,0.49285,0.68358,0.63138,0.39252,1.17299,1.48592,1.53332,0.94561,0,0.0008515,0.0008515,0.0008515
14,1483.57,1.17545,1.40727,1.50153,0.97967,0,0.44961,0.63013,0.59183,0.39284,0.44758,0.62143,0.58809,0.36424,1.27785,1.46042,1.4788,0.97844,0,0.000839125,0.000839125,0.000839125
15,1586.44,1.16374,1.38362,1.43857,0.97266,0,0.48977,0.59488,0.63142,0.41934,0.48977,0.59488,0.62656,0.38511,1.31143,1.78436,1.4827,1.00013,0,0.00082675,0.00082675,0.00082675
16,1684.89,1.14121,1.36046,1.40819,0.97326,0,0.51162,0.67049,0.60705,0.41274,0.51162,0.67049,0.60907,0.4143,1.16318,1.40377,1.68845,0.94311,0,0.000814375,0.000814375,0.000814375
17,1778.42,1.14348,1.35084,1.37484,0.97751,0,0.46517,0.68518,0.61287,0.42929,0.46517,0.68518,0.61296,0.39535,1.11247,1.50473,1.50793,0.93144,0,0.000802,0.000802,0.000802
18,1872,1.12585,1.3359,1.32212,0.96696,0,0.59789,0.68028,0.70087,0.47757,0.59496,0.67578,0.69349,0.4451,1.19172,1.52279,1.31717,0.93784,0,0.000789625,0.000789625,0.000789625
19,1963.79,1.0876,1.29292,1.29178,0.95007,0,0.60222,0.64653,0.66049,0.45146,0.60944,0.65174,0.66565,0.43443,1.17177,1.44793,1.48504,0.92787,0,0.00077725,0.00077725,0.00077725
20,2053.24,1.08359,1.2855,1.27576,0.95343,0,0.64727,0.65536,0.71673,0.4911,0.64727,0.65536,0.71694,0.47092,1.12209,1.41732,1.21536,0.91926,0,0.000764875,0.000764875,0.000764875
21,2142.33,1.06472,1.30768,1.19842,0.94776,0,0.70496,0.74553,0.75808,0.53606,0.69324,0.74982,0.75188,0.50488,1.05434,1.37611,1.16474,0.90932,0,0.0007525,0.0007525,0.0007525
22,2230.42,1.09774,1.28779,1.19511,0.95607,0,0.68891,0.63528,0.74536,0.52277,0.68468,0.63146,0.74225,0.52089,1.0934,1.37013,1.16842,0.92046,0,0.000740125,0.000740125,0.000740125
23,2317.69,1.09192,1.34988,1.19661,0.94737,0,0.65469,0.71792,0.76031,0.52816,0.68656,0.7026,0.75778,0.52742,1.07939,1.33057,1.0763,0.92217,0,0.00072775,0.00072775,0.00072775
24,2408.63,1.05901,1.27698,1.17088,0.93929,0,0.5475,0.78893,0.7356,0.502,0.55794,0.73658,0.73462,0.49239,1.13174,1.36625,1.1801,0.9302,0,0.000715375,0.000715375,0.000715375
25,2500.52,1.05074,1.27565,1.13065,0.93957,0,0.68803,0.70492,0.76364,0.54078,0.69,0.69921,0.76291,0.51227,1.06721,1.48366,1.27947,0.91522,0,0.000703,0.000703,0.000703
26,2593.23,1.05312,1.27496,1.08311,0.94252,0,0.72693,0.65821,0.77733,0.54977,0.72128,0.65371,0.77326,0.51787,1.04202,1.34215,1.09141,0.90613,0,0.000690625,0.000690625,0.000690625
27,2683.36,1.0303,1.21822,1.07513,0.9324,0,0.7193,0.73302,0.80631,0.54915,0.7193,0.73302,0.80071,0.52471,1.19268,1.47053,1.0162,0.94643,0,0.00067825,0.00067825,0.00067825
