epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,143.646,1.34625,1.85279,4.22372,1.11874,0,0.21097,0.60065,0.27821,0.17611,0.21455,0.61615,0.28959,0.17387,1.26681,1.59688,2.72755,1.09362,0,0.000329861,0.000329861,0.000329861
2,292.715,1.24751,1.61372,2.30377,1.10555,0,0.35295,0.50936,0.39831,0.24915,0.41346,0.507,0.40988,0.2369,1.28987,1.83401,1.94331,1.15433,0,0.000654987,0.000654987,0.000654987
3,454.04,1.29146,1.67374,1.99887,1.12201,0,0.32382,0.59532,0.41924,0.25571,0.32767,0.60893,0.42137,0.23286,1.28527,1.66964,1.87993,1.18701,0,0.000971864,0.000971864,0.000971864
4,621.473,1.27764,1.6807,1.83406,1.12489,0,0.43054,0.72424,0.55184,0.37084,0.42568,0.72164,0.54955,0.3588,1.15091,1.51782,1.50412,1.09617,0,0.000962875,0.000962875,0.000962875
5,786.087,1.24497,1.57936,1.71265,1.10016,0,0.40243,0.64183,0.57158,0.38809,0.40747,0.64134,0.57213,0.36297,1.17521,1.50376,1.47091,1.08568,0,0.0009505,0.0009505,0.0009505
6,947.151,1.17413,1.48234,1.52756,1.06517,0,0.46523,0.59639,0.52147,0.34563,0.43657,0.60684,0.51981,0.30968,1.21153,1.75364,1.79803,1.10954,0,0.000938125,0.000938125,0.000938125
7,1116.52,1.13669,1.47256,1.4245,1.06181,0,0.43201,0.69031,0.6147,0.42021,0.47589,0.64028,0.61748,0.38664,1.1605,1.475,1.48032,1.06181,0,0.00092575,0.00092575,0.00092575
8,1282.63,1.14481,1.45902,1.38568,1.05461,0,0.63925,0.5923,0.66134,0.45022,0.63442,0.59204,0.66056,0.4191,1.07688,1.5569,1.34506,1.07334,0,0.000913375,0.000913375,0.000913375
9,1452.99,1.11343,1.43664,1.3324,1.04356,0,0.607,0.72682,0.70591,0.50122,0.61131,0.73297,0.70949,0.49517,1.07446,1.32218,1.20262,1.05154,0,0.000901,0.000901,0.000901
10,1629.67,1.07972,1.37968,1.27321,1.04878,0,0.58877,0.7619,0.72257,0.50447,0.59323,0.7694,0.72578,0.5095,1.17695,1.37768,1.13352,1.08817,0,0.000888625,0.000888625,0.000888625
11,1806.5,1.06491,1.36571,1.22726,1.03084,0,0.64043,0.60778,0.67857,0.44917,0.64043,0.60778,0.68283,0.42449,1.1671,1.54327,1.25755,1.07777,0,0.00087625,0.00087625,0.00087625
12,1957.2,1.0266,1.30421,1.09068,1.0229,0,0.68605,0.70978,0.74273,0.50826,0.69096,0.71454,0.74808,0.49754,1.08108,1.32686,1.03653,1.06525,0,0.000863875,0.000863875,0.000863875
13,2115.55,1.04488,1.31176,1.1527,1.01421,0,0.60207,0.65073,0.64813,0.45478,0.59568,0.65741,0.64954,0.4522,1.07743,1.25943,1.31024,1.03355,0,0.0008515,0.0008515,0.0008515
14,2291.76,1.00605,1.28451,1.09794,0.99879,0,0.81462,0.5797,0.71106,0.48916,0.81462,0.5797,0.71758,0.47928,1.08519,1.34683,1.03285,1.07789,0,0.000839125,0.000839125,0.000839125
15,2451.04,1.02103,1.28653,1.07409,1.00973,0,0.74242,0.68218,0.76083,0.51315,0.73674,0.6784,0.76292,0.51946,1.16674,1.47656,0.9818,1.09939,0,0.00082675,0.00082675,0.00082675
16,2612,1.0027,1.31208,1.02676,1.01222,0,0.65407,0.74699,0.78248,0.55176,0.65407,0.74699,0.7817,0.56135,1.06723,1.33215,1.03765,1.04617,0,0.000814375,0.000814375,0.000814375
17,2768.1,0.98424,1.23768,0.99131,0.99033,0,0.78646,0.72964,0.81267,0.57702,0.78646,0.72964,0.81744,0.57877,1.07244,1.28145,0.91441,1.07126,0,0.000802,0.000802,0.000802
18,2916.78,0.97741,1.23909,0.94597,0.98625,0,0.76953,0.78462,0.81779,0.57814,0.76374,0.79733,0.81904,0.58921,1.0848,1.23653,0.89051,1.05894,0,0.000789625,0.000789625,0.000789625
19,3069.1,0.955,1.23281,0.95836,0.99405,0,0.60105,0.77139,0.7823,0.55558,0.60226,0.78088,0.78905,0.56374,1.03377,1.2525,1.02483,1.04027,0,0.00077725,0.00077725,0.00077725
20,3219.01,0.94615,1.20994,0.94835,0.97138,0,0.70783,0.686,0.7609,0.54191,0.70594,0.68683,0.76557,0.54399,1.04268,1.3248,0.99417,1.02376,0,0.000764875,0.000764875,0.000764875
21,3364.8,0.93396,1.18745,0.87829,0.96975,0,0.74118,0.77442,0.83078,0.58798,0.74118,0.77442,0.83733,0.61706,1.00896,1.28717,0.84359,1.0394,0,0.0007525,0.0007525,0.0007525
22,3516.03,0.9345,1.17774,0.87086,0.96442,0,0.66729,0.74511,0.7589,0.51719,0.66226,0.74105,0.75761,0.51913,1.21037,1.47442,1.01809,1.10866,0,0.000740125,0.000740125,0.000740125
23,3707.4,0.89556,1.14005,0.82674,0.95216,0,0.77561,0.76216,0.83631,0.60594,0.77561,0.76216,0.83773,0.60168,1.05744,1.24424,0.84643,1.07943,0,0.00072775,0.00072775,0.00072775
24,3886.7,0.90512,1.13236,0.8378,0.95681,0,0.68768,0.68124,0.76156,0.49643,0.6998,0.6879,0.76855,0.49325,1.20884,1.66778,1.03802,1.11514,0,0.000715375,0.000715375,0.000715375
25,4069.77,0.90019,1.16629,0.7972,0.95674,0,0.72784,0.79397,0.83604,0.60169,0.72784,0.79397,0.83616,0.60346,1.05068,1.21167,0.80912,1.05533,0,0.000703,0.000703,0.000703
26,4257.13,0.89029,1.13659,0.77634,0.95678,0,0.76929,0.76492,0.8313,0.60249,0.77065,0.76192,0.83109,0.60116,0.99714,1.23521,0.83266,1.02076,0,0.000690625,0.000690625,0.000690625
27,4431.12,0.88192,1.15761,0.79954,0.96457,0,0.84568,0.7306,0.84817,0.61811,0.84568,0.7306,0.84901,0.61704,0.98336,1.24202,0.78283,1.02238,0,0.00067825,0.00067825,0.00067825
28,4636.58,0.87089,1.11966,0.79289,0.95229,0,0.80845,0.80711,0.86592,0.60831,0.81241,0.80087,0.86406,0.61226,1.15397,1.35651,0.81244,1.07769,0,0.000665875,0.000665875,0.000665875
29,4833.36,0.86932,1.11187,0.75867,0.94102,0,0.73384,0.80485,0.84554,0.59472,0.72677,0.8157,0.84769,0.60639,1.05249,1.21328,0.80809,1.05055,0,0.0006535,0.0006535,0.0006535
30,5006.89,0.87652,1.12043,0.75757,0.95468,0,0.84822,0.71126,0.84499,0.59979,0.84822,0.71126,0.84997,0.601,1.09469,1.27814,0.91285,1.09315,0,0.000641125,0.000641125,0.000641125
31,5201.26,0.86223,1.1264,0.76251,0.9447,0,0.81663,0.77525,0.85297,0.62886,0.81663,0.77525,0.85297,0.63404,0.96653,1.23709,0.79214,1.00265,0,0.00062875,0.00062875,0.00062875
32,5384.42,0.8158,1.04375,0.6946,0.93169,0,0.72393,0.82027,0.81629,0.59191,0.72393,0.82027,0.81536,0.60591,0.99493,1.17911,0.84921,1.03388,0,0.000616375,0.000616375,0.000616375
33,5559.09,0.85004,1.09206,0.71593,0.94591,0,0.70874,0.82181,0.81625,0.59032,0.70874,0.82181,0.81625,0.60241,0.97188,1.16703,0.80686,1.00349,0,0.000604,0.000604,0.000604
34,5726.07,0.84585,1.10183,0.71694,0.93944,0,0.79414,0.68677,0.80911,0.57214,0.79414,0.68677,0.81197,0.58121,1.06625,1.30086,0.91489,1.04169,0,0.000591625,0.000591625,0.000591625
35,5904.41,0.81394,1.07501,0.69532,0.93309,0,0.79188,0.79514,0.86264,0.62239,0.79188,0.79514,0.86294,0.62428,1.03173,1.23283,0.71858,1.04669,0,0.00057925,0.00057925,0.00057925
36,6071.92,0.81417,1.00906,0.6834,0.92687,0,0.84126,0.76429,0.86135,0.6306,0.84126,0.76429,0.86033,0.62239,0.99807,1.28888,0.71358,1.02223,0,0.000566875,0.000566875,0.000566875
37,6254.05,0.8278,1.02612,0.67501,0.93082,0,0.78179,0.75952,0.84342,0.6143,0.78179,0.75952,0.84362,0.62289,1.04,1.2221,0.80117,1.03811,0,0.0005545,0.0005545,0.0005545
38,6436.94,0.81838,1.05857,0.65353,0.92775,0,0.8219,0.76223,0.85507,0.62367,0.8219,0.76223,0.86047,0.62594,1.03219,1.12802,0.75236,1.05007,0,0.000542125,0.000542125,0.000542125
39,6618.81,0.79063,1.02533,0.63871,0.91665,0,0.84393,0.79888,0.88521,0.63422,0.84393,0.79888,0.8858,0.6496,1.10103,1.17193,0.7255,1.06791,0,0.00052975,0.00052975,0.00052975
40,6791.8,0.79261,1.0727,0.6288,0.91266,0,0.83207,0.83753,0.88643,0.65366,0.83207,0.83753,0.88951,0.66531,1.02262,1.26377,0.70009,1.06224,0,0.000517375,0.000517375,0.000517375
41,6960.25,0.78917,1.05169,0.63513,0.91965,0,0.86386,0.8486,0.91484,0.67053,0.86386,0.8486,0.91605,0.68536,1.01005,1.15032,0.66384,1.04427,0,0.000505,0.000505,0.000505
