epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,399.755,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000330769,0.000330769,0.000330769
2,721.914,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000653145,0.000653145,0.000653145
3,1008.99,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000964521,0.000964521,0.000964521
4,1288.36,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.0009505,0.0009505,0.0009505
5,1567.97,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000934,0.000934,0.000934
6,1848.23,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.0009175,0.0009175,0.0009175
7,2129.65,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000901,0.000901,0.000901
8,2403.57,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.0008845,0.0008845,0.0008845
9,2679.47,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000868,0.000868,0.000868
10,2954.66,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.0008515,0.0008515,0.0008515
11,3239.96,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000835,0.000835,0.000835
12,3561.63,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.0008185,0.0008185,0.0008185
13,3859.55,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000802,0.000802,0.000802
14,4144.91,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.0007855,0.0007855,0.0007855
15,4441.38,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000769,0.000769,0.000769
16,4764.02,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.0007525,0.0007525,0.0007525
17,5038.92,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000736,0.000736,0.000736
18,5345.69,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.0007195,0.0007195,0.0007195
19,5664.1,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000703,0.000703,0.000703
20,5957.89,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.0006865,0.0006865,0.0006865
21,6247.7,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00067,0.00067,0.00067
22,6544.06,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.0006535,0.0006535,0.0006535
23,6849.22,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000637,0.000637,0.000637
24,7138.73,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.0006205,0.0006205,0.0006205
25,7403.81,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000604,0.000604,0.000604
26,7680.88,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.0005875,0.0005875,0.0005875
27,7969.87,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000571,0.000571,0.000571
28,8271.19,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.0005545,0.0005545,0.0005545
29,8569.05,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000538,0.000538,0.000538
30,8872.3,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.0005215,0.0005215,0.0005215
31,9174.14,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000505,0.000505,0.000505
32,9487.06,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.0004885,0.0004885,0.0004885
33,9771.08,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000472,0.000472,0.000472
34,10056.3,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.0004555,0.0004555,0.0004555
