epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,96.5671,1.14274,1.33722,1.95319,0.99608,0,0.33429,0.50195,0.41691,0.28089,0.33822,0.5029,0.41914,0.24597,1.24144,1.58629,1.68299,0.97859,0,0.000329861,0.000329861,0.000329861
2,188.453,1.24494,1.60391,1.87374,1.03888,0,0.44882,0.49128,0.51064,0.3522,0.45432,0.49547,0.50643,0.29971,1.18843,1.51471,1.58138,0.97609,0,0.000654987,0.000654987,0.000654987
3,282.91,1.28981,1.62358,1.78165,1.05252,0,0.43401,0.59908,0.48633,0.32467,0.43401,0.59908,0.49681,0.28909,1.16229,1.46719,1.63845,0.97695,0,0.000971864,0.000971864,0.000971864
4,375.547,1.27217,1.58815,1.68939,1.03884,0,0.4459,0.75913,0.59455,0.38217,0.44862,0.7302,0.59471,0.36959,1.23123,1.51031,1.45566,1.00415,0,0.000962875,0.000962875,0.000962875
5,480.526,1.26727,1.53264,1.59761,1.05858,0,0.48211,0.63017,0.6556,0.44306,0.48211,0.63017,0.65416,0.40298,1.11841,1.46599,1.29969,0.96477,0,0.0009505,0.0009505,0.0009505
6,573.356,1.21056,1.49233,1.44046,1.02902,0,0.55776,0.74944,0.71879,0.49081,0.55416,0.75185,0.71806,0.47733,1.09242,1.32028,1.14787,0.95618,0,0.000938125,0.000938125,0.000938125
7,665.179,1.19539,1.54499,1.37251,1.03936,0,0.46375,0.58955,0.53531,0.34921,0.45169,0.60487,0.53781,0.3195,1.10359,1.70686,1.51962,0.95937,0,0.00092575,0.00092575,0.00092575
8,754.687,1.17716,1.48557,1.30033,1.00999,0,0.59979,0.65649,0.69687,0.48686,0.59979,0.65649,0.69895,0.42847,1.09072,1.3229,1.43048,0.93789,0,0.000913375,0.000913375,0.000913375
9,843.631,1.11371,1.39915,1.22322,1.00001,0,0.49924,0.70312,0.66372,0.44888,0.49761,0.69861,0.66197,0.41358,1.12905,1.45821,1.28044,0.98203,0,0.000901,0.000901,0.000901
10,934.386,1.12621,1.42307,1.20635,1.00033,0,0.68466,0.68138,0.75266,0.50819,0.69314,0.68923,0.7647,0.46473,1.18639,1.54874,1.05032,0.98493,0,0.000888625,0.000888625,0.000888625
11,1027.35,1.13906,1.40349,1.25215,1.00194,0,0.64208,0.58498,0.64153,0.38759,0.64626,0.58992,0.65563,0.34765,1.38499,1.81671,1.31912,1.0734,0,0.00087625,0.00087625,0.00087625
12,1116.62,1.10472,1.34967,1.15551,0.99076,0,0.74073,0.64062,0.75897,0.50861,0.73905,0.65078,0.76039,0.47922,1.16381,1.37104,1.1711,0.98717,0,0.000863875,0.000863875,0.000863875
13,1206.9,1.11086,1.34747,1.12254,0.99424,0,0.75381,0.67573,0.7803,0.54887,0.72419,0.7177,0.78317,0.52276,1.05563,1.326,1.02054,0.95553,0,0.0008515,0.0008515,0.0008515
14,1296.72,1.08717,1.34477,1.07474,0.98291,0,0.79934,0.5728,0.73165,0.48524,0.80423,0.57756,0.73533,0.47227,1.21643,1.32913,1.28516,1.00278,0,0.000839125,0.000839125,0.000839125
15,1384.55,1.06754,1.30423,1.04819,0.9683,0,0.73116,0.72068,0.79087,0.53836,0.73116,0.72068,0.79506,0.53266,1.1447,1.34373,0.98693,0.97164,0,0.00082675,0.00082675,0.00082675
16,1473.37,1.06717,1.29662,1.04059,0.98277,0,0.70247,0.7746,0.80472,0.57347,0.75825,0.73053,0.80682,0.56372,1.06414,1.24372,0.92761,0.93743,0,0.000814375,0.000814375,0.000814375
17,1562.99,1.05789,1.30746,1.00211,0.97581,0,0.74474,0.76754,0.82644,0.5803,0.74474,0.76754,0.82575,0.58705,1.11914,1.30474,0.93564,0.96582,0,0.000802,0.000802,0.000802
18,1653.14,1.0248,1.24751,0.95624,0.974,0,0.72485,0.76151,0.79418,0.53759,0.72689,0.76846,0.79717,0.54014,1.1901,1.35916,1.22628,0.96887,0,0.000789625,0.000789625,0.000789625
